
                nIpmactParameters= 50
V_ion,cm/s         1.677532e+05            7.059633e+05            3.485293e+06            1.720665e+07            8.494808e+07            4.193829e+08   

       i      Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV    Rho,cm     DeltaE,eV
      30    5.5900e-03  9.6932e-10  6.5036e-03  7.9747e-10  1.1729e-02  3.1617e-10  1.2273e-02  2.9286e-10  1.9239e-02  1.3121e-10  4.7821e-02  2.3327e-11
      31    5.8252e-03  8.8924e-10  6.8111e-03  7.2512e-10  1.2523e-02  2.7732e-10  1.3124e-02  2.5564e-10  2.0878e-02  1.1155e-10  5.3467e-02  1.8688e-11
      32    6.0704e-03  7.9260e-10  7.1331e-03  6.4733e-10  1.3371e-02  2.4204e-10  1.4033e-02  2.2309e-10  2.2657e-02  9.4591e-11  5.9780e-02  1.4950e-11
      33    6.3259e-03  7.2373e-10  7.4703e-03  5.8577e-10  1.4277e-02  2.1130e-10  1.5006e-02  1.9371e-10  2.4587e-02  8.0024e-11  6.6838e-02  1.1943e-11
      34    6.5922e-03  6.5955e-10  7.8234e-03  5.1813e-10  1.5244e-02  1.8336e-10  1.6046e-02  1.6766e-10  2.6682e-02  6.7529e-11  7.4730e-02  9.5234e-12
      35    6.8697e-03  5.7904e-10  8.1933e-03  4.6640e-10  1.6276e-02  1.5855e-10  1.7158e-02  1.4516e-10  2.8954e-02  5.6765e-11  8.3554e-02  7.5790e-12
      36    7.1588e-03  5.2499e-10  8.5806e-03  4.1884e-10  1.7378e-02  1.3657e-10  1.8347e-02  1.2481e-10  3.1421e-02  4.7551e-11  9.3419e-02  6.0161e-12
      37    7.4601e-03  4.7490e-10  8.9863e-03  3.6544e-10  1.8555e-02  1.1715e-10  1.9619e-02  1.0636e-10  3.4098e-02  3.9676e-11  1.0445e-01  4.7616e-12
      38    7.7741e-03  4.0992e-10  9.4111e-03  3.1628e-10  1.9812e-02  1.0004e-10  2.0979e-02  9.0625e-11  3.7002e-02  3.2959e-11  1.1678e-01  3.7542e-12
      39    8.1013e-03  3.6868e-10  9.8560e-03  2.8132e-10  2.1154e-02  8.4386e-11  2.2433e-02  7.6337e-11  4.0155e-02  2.7185e-11  1.3057e-01  2.9463e-12
      40    8.4423e-03  3.1345e-10  1.0322e-02  2.4048e-10  2.2586e-02  7.1265e-11  2.3988e-02  6.4338e-11  4.3575e-02  2.2280e-11  1.4599e-01  2.2977e-12
      41    8.7977e-03  2.6307e-10  1.0810e-02  2.0365e-10  2.4116e-02  5.9260e-11  2.5650e-02  5.2971e-11  4.7287e-02  1.8075e-11  1.6322e-01  1.7782e-12
      42    9.1680e-03  2.1773e-10  1.1321e-02  1.7075e-10  2.5749e-02  4.8277e-11  2.7428e-02  4.3578e-11  5.1316e-02  1.4477e-11  1.8250e-01  1.3609e-12
      43    9.5538e-03  1.9325e-10  1.1856e-02  1.4166e-10  2.7493e-02  3.8802e-11  2.9329e-02  3.5084e-11  5.5687e-02  1.1410e-11  2.0404e-01  1.0270e-12
      44    9.9560e-03  1.5702e-10  1.2417e-02  1.1622e-10  2.9354e-02  3.0732e-11  3.1362e-02  2.7446e-11  6.0431e-02  8.8133e-12  2.2813e-01  7.5914e-13
      45    1.0375e-02  1.1241e-10  1.3004e-02  8.7394e-11  3.1342e-02  2.3480e-11  3.3535e-02  2.1039e-11  6.5579e-02  6.5448e-12  2.5507e-01  5.4452e-13
      46    1.0812e-02  8.7022e-11  1.3618e-02  6.3265e-11  3.3465e-02  1.7081e-11  3.5860e-02  1.5077e-11  7.1165e-02  4.6769e-12  2.8519e-01  3.7297e-13
      47    1.1267e-02  5.6051e-11  1.4262e-02  4.3812e-11  3.5731e-02  1.1226e-11  3.8345e-02  1.0037e-11  7.7228e-02  3.0345e-12  3.1886e-01  2.3515e-13
      48    1.1741e-02  3.2758e-11  1.4937e-02  2.4619e-11  3.8151e-02  6.2326e-12  4.1003e-02  5.5168e-12  8.3806e-02  1.6757e-12  3.5651e-01  1.2536e-13
      49    1.2235e-02  1.1667e-11  1.5643e-02  6.6725e-12  4.0735e-02  1.9607e-12  4.3845e-02  1.7580e-12  9.0946e-02  5.1541e-13  3.9860e-01  3.7183e-14
